label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
morse · mlp · distill to simple,4009,late,0.0,42,300049,0.0,0.25,0.6605700043850071,0.6560658431905706,0.004504161194436529,0.5602126327374235,0.5598962395261954,0.0003163932112281165,0.739829138166884,0.7427754413148393,-0.002946303147955298,0.19898449200362073,0.20030038116601592,0.661302370423546,0.1514706313610077,0.15788336098194122,4.233645534657967
morse · mlp · distill to simple,4008,late,0.0,42,300049,0.0,0.0,0.6795490454175378,0.6795490454175378,0.0,0.540796968561855,0.540796968561855,0.0,0.703483450768126,0.703483450768126,0.0,0.19996647796628364,0.19996647796628364,0.0,0.12239358574151993,0.12239358574151993,0.0
morse · mlp · distill to simple,4008,late,0.0,42,300049,0.0,0.1,0.6795490454175378,0.677711767956306,0.0018372774612317455,0.540796968561855,0.5412683770235511,-0.00047140846169613226,0.703483450768126,0.6980665508278167,0.005416899940309361,0.19996647796628364,0.20053890378803915,0.2862608911139741,0.12239358574151993,0.1245521605014801,1.7636338921541335
morse · mlp · distill to simple,4008,late,0.0,42,300049,0.0,0.25,0.6795490454175378,0.6665122077845891,0.013036837632948717,0.540796968561855,0.5390263468873757,0.001770621674479278,0.703483450768126,0.6909182716465363,0.01256517912158972,0.19996647796628364,0.20399352512048885,2.0138611207045467,0.12239358574151993,0.12909618020057678,5.476262843717891
morse · mlp · distill to simple,2488,late,0.0,42,300049,0.0,0.0,0.3895527464011017,0.3895527464011017,0.0,0.48277742404842994,0.48277742404842994,0.0,0.3883834861878894,0.3883834861878894,0.0,0.8199348476082855,0.8199348476082855,0.0,0.12304442375898361,0.12304442375898361,0.0
morse · mlp · distill to simple,2488,late,0.0,42,300049,0.0,0.1,0.3895527464011017,0.3934059114382277,-0.0038531650371259607,0.48277742404842994,0.48202761980708997,0.0007498042413399686,0.3883834861878894,0.39682109290953993,-0.008437606721650504,0.8199348476082855,0.8173430220744844,-0.3161014001736052,0.12304442375898361,0.12690787017345428,3.1398793187396254
morse · mlp · distill to simple,2488,late,0.0,42,300049,0.0,0.25,0.3895527464011017,0.3897352039055878,-0.00018245750448608877,0.48277742404842994,0.4782411128448446,0.00453631120358533,0.3883834861878894,0.4095924771994348,-0.021208991011545386,0.8199348476082855,0.8198123026662685,-0.01494569262112477,0.12304442375898361,0.13580438494682312,10.370206790381177
morse · mlp · distill to simple,2109,late,0.0,42,300049,0.0,0.0,0.8927479471394717,0.8927479471394717,0.0,0.882927080834482,0.882927080834482,0.0,0.8825578351100328,0.8825578351100328,0.0,1.1849021092692287,1.1849021092692287,0.0,0.08460082858800888,0.08460082858800888,0.0
morse · mlp · distill to simple,2109,late,0.0,42,300049,0.0,0.1,0.8927479471394717,0.8923540487924748,0.0003938983469968793,0.882927080834482,0.8826762782601391,0.0002508025743429565,0.8825578351100328,0.8848961007422336,-0.0023382656322007422,1.1849021092692287,1.1870759755075921,0.18346378332503477,0.08460082858800888,0.08435669541358948,-0.28857066590717284
morse · mlp · distill to simple,2109,late,0.0,42,300049,0.0,0.25,0.8927479471394717,0.8876561083154039,0.005091838824067829,0.882927080834482,0.8794270871267688,0.003499993707713256,0.8825578351100328,0.8929147697404323,-0.01035693463039944,1.1849021092692287,1.2127028489839766,2.3462478037019996,0.08460082858800888,0.0886659324169159,4.805040206761274
