label,basin,period,training_noise,seed,inference_noise_seed,baseline_noise,inference_noise,clean_test_nse,noisy_test_nse,drift_test_nse,clean_validation_nse,noisy_validation_nse,drift_validation_nse,clean_test_kge,noisy_test_kge,drift_test_kge,clean_test_rmse_mm_day,noisy_test_rmse_mm_day,drift_test_rmse_mm_day,clean_physics_error,noisy_physics_error,drift_physics_error
learned · fourier→pinnmamba · joint baseline,5001,late,0.0,42,300049,0.0,0.25,-2.0403906422921256,-2.2330071817803754,0.19261653948824975,-3.3824163767135067,-3.7278910942208903,0.34547471750738357,-1.333105584071704,-1.445475147330256,0.11236956325855196,7.559965026042024,7.795759407160123,3.118987724226919,6.404166221618652,6.8198561668396,6.490929979576353
learned · fourier→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.0,0.8587704681743483,0.8587704681743483,0.0,0.6648536359808896,0.6648536359808896,0.0,0.8170440843415523,0.8170440843415523,0.0,0.7970941353671835,0.7970941353671835,0.0,0.1482306569814682,0.1482306569814682,0.0
learned · fourier→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.1,0.8587704681743483,0.846433749904396,0.012336718269952307,0.6648536359808896,0.661547265903313,0.0033063700775766147,0.8170440843415523,0.8086665806397921,0.008377503701760158,0.7970941353671835,0.8311793477845599,4.27618406722751,0.1482306569814682,0.15508027374744415,4.620917767929944
learned · fourier→pinnmamba · joint baseline,2247,late,0.0,42,300049,0.0,0.25,0.8587704681743483,0.7966698581614554,0.06210061001289291,0.6648536359808896,0.6396533947138447,0.0252002412670449,0.8170440843415523,0.7737799394169584,0.04326414492459385,0.7970941353671835,0.9564179886779908,19.98808500045158,0.1482306569814682,0.19274982810020447,30.033713690078333
learned · fourier→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.0,0.46124602970842066,0.46124602970842066,0.0,0.3929620534582776,0.3929620534582776,0.0,0.6304170860887649,0.6304170860887649,0.0,2.82285800088474,2.82285800088474,0.0,0.2643910348415375,0.2643910348415375,0.0
learned · fourier→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.1,0.46124602970842066,0.44516635767092516,0.016079672037495496,0.3929620534582776,0.3774755319110924,0.015486521547185217,0.6304170860887649,0.6101298527956984,0.020287233293066476,2.82285800088474,2.8646738505366853,1.4813302560326975,0.2643910348415375,0.24626275897026062,-6.856615195799669
learned · fourier→pinnmamba · joint baseline,4022,late,0.0,42,300049,0.0,0.25,0.46124602970842066,0.3647696093992998,0.09647642030912085,0.3929620534582776,0.2953736667319343,0.09758838672634329,0.6304170860887649,0.5761544015879654,0.05426268450079952,2.82285800088474,3.065204285622138,8.58513905628416,0.2643910348415375,0.2765401303768158,4.5951238636211205
learned · fourier→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.0,0.38717081173242185,0.38717081173242185,0.0,0.3821034962540071,0.3821034962540071,0.0,0.6390116674454338,0.6390116674454338,0.0,2.519085140331956,2.519085140331956,0.0,0.2581845223903656,0.2581845223903656,0.0
learned · fourier→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.1,0.38717081173242185,0.41696228766263377,-0.02979147593021192,0.3821034962540071,0.3503496898843841,0.031753806369622994,0.6390116674454338,0.6513405761191158,-0.01232890867368197,2.519085140331956,2.4570921732629203,-2.46093179132748,0.2581845223903656,0.28423696756362915,10.090630116809713
learned · fourier→pinnmamba · joint baseline,4023,late,0.0,42,300049,0.0,0.25,0.38717081173242185,0.33537178656271005,0.0517990251697118,0.3821034962540071,0.20639412708465332,0.17570936916935376,0.6390116674454338,0.6027155660114916,0.03629610143394224,2.519085140331956,2.6233879032896774,4.1405016959441445,0.2581845223903656,0.38475558161735535,49.02348833894036
learned · fourier→pinnmamba · joint baseline,5009,late,0.0,42,300049,0.0,0.0,0.47111318235777067,0.47111318235777067,0.0,0.4156558100175203,0.4156558100175203,0.0,0.5266533869926922,0.5266533869926922,0.0,2.446394966671267,2.446394966671267,0.0,0.7057293653488159,0.7057293653488159,0.0
learned · fourier→pinnmamba · joint baseline,5009,late,0.0,42,300049,0.0,0.1,0.47111318235777067,0.4714404118649257,-0.00032722950715502463,0.4156558100175203,0.4153423745615247,0.0003134354559956032,0.5266533869926922,0.5297157778186217,-0.0030623908259295174,2.446394966671267,2.4456380405615747,-0.030940470365764118,0.7057293653488159,0.7062385082244873,0.07214421004285916
learned · fourier→pinnmamba · joint baseline,5009,late,0.0,42,300049,0.0,0.25,0.47111318235777067,0.4657269001445593,0.0053862822132113575,0.4156558100175203,0.377484105817783,0.038171704199737255,0.5266533869926922,0.5324548407110217,-0.005801453718329519,2.446394966671267,2.4588206821761256,0.5079194355016868,0.7057293653488159,0.7159702181816101,1.45110198549447
learned · fourier→pinnmamba · joint baseline,5010,late,0.0,42,300049,0.0,0.0,0.43829018024163946,0.43829018024163946,0.0,0.42492397690208084,0.42492397690208084,0.0,0.49190316532984313,0.49190316532984313,0.0,2.8722844651470485,2.8722844651470485,0.0,0.9550181031227112,0.9550181031227112,0.0
learned · fourier→pinnmamba · joint baseline,5010,late,0.0,42,300049,0.0,0.1,0.43829018024163946,0.4354684482917942,0.002821731949845252,0.42492397690208084,0.4326897782750978,-0.007765801373016967,0.49190316532984313,0.48795305688776924,0.003950108442073885,2.8722844651470485,2.8794898436816263,0.2508588067097639,0.9550181031227112,0.9582782983779907,0.3413752309636203
learned · fourier→pinnmamba · joint baseline,5010,late,0.0,42,300049,0.0,0.25,0.43829018024163946,0.4135476628640584,0.02474251737758104,0.42492397690208084,0.42332531503278203,0.0015986618692988008,0.49190316532984313,0.4750655243406332,0.016837640989209923,2.8722844651470485,2.9348627891644496,2.1786952085262006,0.9550181031227112,0.9928087592124939,3.9570617526741225
learned · fourier→pinnmamba · joint baseline,5016,late,0.0,42,300049,0.0,0.0,0.8737087950077176,0.8737087950077176,0.0,0.7743987614677894,0.7743987614677894,0.0,0.855985603123857,0.855985603123857,0.0,3.024253343067091,3.024253343067091,0.0,0.17803160846233368,0.17803160846233368,0.0
learned · fourier→pinnmamba · joint baseline,5016,late,0.0,42,300049,0.0,0.1,0.8737087950077176,0.8626667662030558,0.011042028804661763,0.7743987614677894,0.7347551984971026,0.03964356297068683,0.855985603123857,0.8475023435739787,0.008483259549878275,3.024253343067091,3.153693181648861,4.2800593699764775,0.17803160846233368,0.17370986938476562,-2.427512234987423
